,name,category3
0,두숫놈,식당
1,해장요리전문 임사부국밥 미사점,한식당
2,바이더크릭(by the creek),호프
3,카멜레온 다이닝(CHAMELEON DINING),식당
4,낙원할머니뼛칼 본점,한식당
5,하남 찰리황,중국집
6,청록 미나리식당 미사강변점,한식당
7,미분당 미사역점,아시안 음식
8,슬로우캘리 하남미사점,야채
9,담아봄에,한식당
10,스타클럽 5 푸드풋팅(star club 5 food futting),한식당
11,소주물 하남시청점,고기
12,더피쉬워크샵,해물
13,한솥도시락 하남감일점,식당 아님
14,짬뽕관 하남미사점,중국집
15,하나참치&스시,일식집
16,주덜트,식당
17,연족,고기
18,무궁화주택 하남미사점,식당
19,미사 참숯불갈비,한식당
20,불꾸러기,고기
21,처갓집양념치킨 북위례점,치킨
22,마장동고기집 미사점,고기
23,보배반점 하남미사점,중국집
24,모토이시 하남 미사점,고기
25,인생아구찜 미사점,해물
26,마린보이 코다리1번가(망월점),해물
27,포도 앤 보리,카페
28,한라맥주 미사신도시점,호프
29,준이네 숯불닭갈비,고기
30,프리티플레저,베이커리
31,빈타그런스 브루잉 바,카페
32,돌깨마을맷돌순두부 하남미사점,한식당
33,구가네 닭강정 호프,치킨
34,베르온,양식
35,노모어 피자 하남시청역점,피자
36,손님상,한식당
37,아담만두(미사점),분식
38,방배동 할매쭈꾸미 하남미사점,해물
39,탐나는 피자 하남점,피자
40,윈터포레스트1224(Winter Forest 1224),카페
41,대동면옥 올림픽공원직영점,한식당
42,소소밀 베이커리(SoSoMeal Bakery),베이커리
43,나타 커피 하우스,카페
44,라이크어시네마 하남미사점,카페
45,조선부뚜막 하남감일점,고기
46,오고가 미사점,해물
47,미사 메밀관,한식당
48,한솥 미사역9번출구점,식당 아님
49,죽에 진심,한식당
50,심플레이스 하남점,카페
51,화포식당 감일점,고기
52,모랑 하남지산IS점,한식당
53,귀한족발 하남감일지구점,고기
54,솥단지 찹쌀순대국,식당
55,플라워앤쭈,한식당
56,딜리스볼,한식당
57,힘난다버거 하남감일점,햄버거
58,행복소머리곰탕전문,한식당
59,츠카미치,일식집
60,시온미반,한식당
61,떠오름 푸드,식당 아님
62,고메스퀘어 미사점,뷔페
63,더피제리아마켓,피자
64,삼산회관 하남미사강변점,고기
65,오빠(Oh BAR),한식당
66,죽이야기 감일점,한식당
67,봄봄 하남미사점,한식당
68,레알 청아간장게장,한식당
69,아토키토 하남위례점,야채
70,김뚜껑 부대찌개 미사역점,한식당
71,운미가,식당
72,미사정육왕,고기
73,라스트춘선 하남점,한식당
74,밥밥디라라 하남미사강변점,한식당
75,또래오래 북위례점,치킨
76,디디키키 베이커리,베이커리
77,참살이 샐러드,야채
78,마장동 정 순대국,식당
79,시선 하남미사점,일식집
80,우리할매떡볶이 하남미사점,분식
81,처갓집양념치킨 감일점,치킨
82,탕화쿵푸 감일점,중국집
83,편백가원 하남미사점,샤브샤브
84,한남동그집 현대지식산업센터2차점,식당
85,브라운돈까스 하남감일점,돈가스
86,딤타오 하남스타필드점,중국집
87,산드르 한방약초 샤브,한식당
88,한솥도시락 미사2동점,식당 아님
89,갈속집 하남시청역점,고기
90,겟레디커피(Get Ready Coffee),카페
91,인생장칼 하남풍산점,분식
92,하하족발,고기
93,호빈초밥,일식집
94,별룸포차,식당
95,우대포 미사직영점,고기
96,테이스트앤드테이스트 피자 스탠드 하남 스타필드점,피자
97,야마이루식 우동,분식
98,무청감자탕 한강미사점,식당
99,브런치&카페 알로(Brunch&Cafe allo),카페
100,철길부산집 하남감일점,식당
101,미사맛집 배째 닭한마리 칼국수,고기
102,하남냉삼0458,한식당
103,청년분식 하남미사점,분식
104,콘부 스타필드하남,일식당
105,한신포차 하남감일점,식당
106,홍미닭발 하남미사점,고기
107,요네즈,일식당
108,정오리 돌판구이,한식당
109,79대포 하남풍산점,식당
110,춘향골 남원추어탕 미사점,식당
111,오모로이 쇼쿠도,식당
112,리리삼,고기
113,도마르 스시,일식집
114,젠가든(Zen Garden),일식당
115,스시 시오미즈,일식당
116,박승광 해물 손칼국수 하남미사점,분식
117,카페 아리온,카페
118,김복남맥주 하남미사역점,호프
119,투다리 감일역점,일식당
120,삼동소바 하남미사점,일식당
121,유우조우,일식당
122,멜팅슬로우,카페
123,우리동네 참치정육점(미사점),일식당
124,누커스,카페
125,화로상회 하남감일점,고기
126,노티드 하남 스타필드,카페
127,마시내 하남감일점,중국집
128,멕시카나치킨 하남풍산점,치킨
129,하노이 맥주밤거리 하남미사역점,식당
130,반미362 하남미사점,아시안 음식
131,소소떡볶이 하남미사점,분식
132,키치 플레이트,양식
133,족발예찬 하남미사점,고기
134,댕크야드(Dank yard),식당
135,권동식당,한식당
136,우시야 미사점,고기
137,효자동설렁탕 하남점,한식당
138,발라티에,양식
139,쏘르제 루나(Sorge luna),카페
140,하남 삼육식당,한식당
141,카페 누이(cafe nue),카페
142,붓다텐 하남점,일식당
