업종명,업소명,소재지(도로명),소재지전화
일반음식점,두숫놈,경기도 하남시 하남대로 795  나동 1층 일부호 (신장동),
일반음식점,해장요리전문 임사부국밥 미사점,경기도 하남시 미사강변한강로220번길 32  1층 일부호 (망월동),
일반음식점,금덕푸드,경기도 하남시 미사대로 750  스타필드 하남 신세계백화점 하남점 지1층 일부호 (신장동),
일반음식점,일삼삼 숙성구이전문점 미사본점,경기도 하남시 미사강변한강로342번길 22  1층 일부호 (망월동),
일반음식점,바이더크릭(by the creek),경기도 하남시 미사강변북로30번안길 24  1층 (망월동),
일반음식점,청담곱떡 미사점,경기도 하남시 미사강변한강로220번길 32  1층 일부호 (망월동),
일반음식점,유월분식,경기도 하남시 역말로 47  1층 일부호 (덕풍동),
일반음식점,요커(yo.kr) 미사역점,경기도 하남시 미사강변동로 85  힐스테이트 에코 미사 1층 122호 (망월동),
일반음식점,강창구 찹쌀 진순대(하남 풍산역점),경기도 하남시 덕풍서로 80  빌리브하남 1층 110호 (덕풍동),
일반음식점,모카앤모카번,경기도 하남시 신장로 195  1층 일부호 (덕풍동),
일반음식점,돌우물집(하남풍산역점),경기도 하남시 덕풍서로 80  빌리브하남 1층 111호 (덕풍동),
일반음식점,카멜레온 다이닝(CHAMELEON DINING),경기도 하남시 미사강변중앙로 193  에코브리지 2층 208호 (망월동),
일반음식점,지아(ZIA),경기도 하남시 미사강변중앙로204번길 45  성산타워플러스 3층 301호 (망월동),
일반음식점,낙원할머니뼛칼 본점,경기도 하남시 검단로 28  선정빌딩 2층 일부호 (하산곡동),
일반음식점,하남 찰리황,경기도 하남시 미사강변대로 48  해든마루빌딩 1층 109 110 111호 (풍산동),
일반음식점,청록 미나리식당 미사강변점,경기도 하남시 미사강변한강로 135  미사강변 스카이폴리스 2층 다 230 231 232호 (망월동),
일반음식점,장혁민의 부대찌개 하남점,경기도 하남시 미사강변대로34번길 120  미사주차장 1층 109호 일부호 (풍산동),
일반음식점,통통돼지삼겹살,경기도 하남시 미사대로 550  현대지식산업센터 한강미사 1층 OC01-0028호 (덕풍동),
일반음식점,미처둑어,경기도 하남시 미사강변대로34번길 100  미사타워 1층 109호 (풍산동),
일반음식점,일미정,경기도 하남시 미사강변동로 95  힐스테이트 미사역 그랑파사쥬(12-1BL) 1층 1046  1047호 (망월동),
일반음식점,혼밥선생,경기도 하남시 미사강변중앙로7번안길 25  u-테크밸리 1층 D-112 113호 일부호 (풍산동),
일반음식점,다복향 마라탕,경기도 하남시 미사강변남로 45  골든브릿지 1층 104호 (망월동), 031- 794-6670
일반음식점,서울앤틱,경기도 하남시 덕풍북로259번길 19-10  1층 일부호 (덕풍동),
일반음식점,만두맨,경기도 하남시 미사대로 750  스타필드 하남 2층 일부호 (신장동),
일반음식점,꼬챙이,경기도 하남시 미사강변중앙로 157  리버테라스 3층 301-1호 (망월동),
일반음식점,미분당 미사역점,경기도 하남시 미사강변동로 82  서건 미사 메트로타워 1층 107호 (망월동),
일반음식점,뽁당볶음밥 미사점,경기도 하남시 미사강변대로 62  바토프라자 1층 108호 일부호 (풍산동),
일반음식점,짜글이주의보 미사점,경기도 하남시 미사강변대로 62  바토프라자 1층 108 일부호 (풍산동),
