,name,naverURL
0,두숫놈,"https://map.naver.com/p/search/%EB%91%90%EC%88%AB%EB%86%88/place/1577731722?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
1,해장요리전문 임사부국밥 미사점,"https://map.naver.com/p/search/%ED%95%B4%EC%9E%A5%EC%9A%94%EB%A6%AC%EC%A0%84%EB%AC%B8%20%EC%9E%84%EC%82%AC%EB%B6%80%EA%B5%AD%EB%B0%A5%20%EB%AF%B8%EC%82%AC%EC%A0%90/place/1221737645?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
2,금덕푸드,"https://map.naver.com/p/search/%EA%B8%88%EB%8D%95%ED%91%B8%EB%93%9C/?c=15.00,0,0,0,dh"
3,일삼삼 숙성구이전문점 미사본점,"https://map.naver.com/p/search/%EC%9D%BC%EC%82%BC%EC%82%BC%20%EC%88%99%EC%84%B1%EA%B5%AC%EC%9D%B4%EC%A0%84%EB%AC%B8%EC%A0%90%20%EB%AF%B8%EC%82%AC%EB%B3%B8%EC%A0%90/?c=15.00,0,0,0,dh"
4,바이더크릭(by the creek),"https://map.naver.com/p/search/%EB%B0%94%EC%9D%B4%EB%8D%94%ED%81%AC%EB%A6%AD%28by%20the%20creek%29/place/1546749040?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
5,청담곱떡 미사점,"https://map.naver.com/p/search/%EC%B2%AD%EB%8B%B4%EA%B3%B1%EB%96%A1%20%EB%AF%B8%EC%82%AC%EC%A0%90/?c=15.00,0,0,0,dh"
6,유월분식,"https://map.naver.com/p/search/%EC%9C%A0%EC%9B%94%EB%B6%84%EC%8B%9D/?c=15.00,0,0,0,dh"
7,요커(yo.kr) 미사역점,"https://map.naver.com/p/search/%EC%9A%94%EC%BB%A4%28yo.kr%29%20%EB%AF%B8%EC%82%AC%EC%97%AD%EC%A0%90/?c=15.00,0,0,0,dh"
8,강창구 찹쌀 진순대(하남 풍산역점),"https://map.naver.com/p/search/%EA%B0%95%EC%B0%BD%EA%B5%AC%20%EC%B0%B9%EC%8C%80%20%EC%A7%84%EC%88%9C%EB%8C%80%28%ED%95%98%EB%82%A8%20%ED%92%8D%EC%82%B0%EC%97%AD%EC%A0%90%29/?c=15.00,0,0,0,dh"
9,모카앤모카번,"https://map.naver.com/p/search/%EB%AA%A8%EC%B9%B4%EC%95%A4%EB%AA%A8%EC%B9%B4%EB%B2%88/?c=15.00,0,0,0,dh"
10,돌우물집(하남풍산역점),"https://map.naver.com/p/search/%EB%8F%8C%EC%9A%B0%EB%AC%BC%EC%A7%91%28%ED%95%98%EB%82%A8%ED%92%8D%EC%82%B0%EC%97%AD%EC%A0%90%29/?c=15.00,0,0,0,dh"
11,카멜레온 다이닝(CHAMELEON DINING),"https://map.naver.com/p/search/%EC%B9%B4%EB%A9%9C%EB%A0%88%EC%98%A8%20%EB%8B%A4%EC%9D%B4%EB%8B%9D%28CHAMELEON%20DINING%29/place/1283281249?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
12,지아(ZIA),"https://map.naver.com/p/search/%EC%A7%80%EC%95%84%28ZIA%29/?c=15.00,0,0,0,dh"
13,낙원할머니뼛칼 본점,"https://map.naver.com/p/search/%EB%82%99%EC%9B%90%ED%95%A0%EB%A8%B8%EB%8B%88%EB%BC%9B%EC%B9%BC%20%EB%B3%B8%EC%A0%90/place/1309033933?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
14,하남 찰리황,"https://map.naver.com/p/search/%ED%95%98%EB%82%A8%20%EC%B0%B0%EB%A6%AC%ED%99%A9/place/1056725152?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
15,청록 미나리식당 미사강변점,"https://map.naver.com/p/search/%EC%B2%AD%EB%A1%9D%20%EB%AF%B8%EB%82%98%EB%A6%AC%EC%8B%9D%EB%8B%B9%20%EB%AF%B8%EC%82%AC%EA%B0%95%EB%B3%80%EC%A0%90/place/1037806090?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
16,장혁민의 부대찌개 하남점,"https://map.naver.com/p/search/%EC%9E%A5%ED%98%81%EB%AF%BC%EC%9D%98%20%EB%B6%80%EB%8C%80%EC%B0%8C%EA%B0%9C%20%ED%95%98%EB%82%A8%EC%A0%90/?c=15.00,0,0,0,dh"
17,통통돼지삼겹살,"https://map.naver.com/p/search/%ED%86%B5%ED%86%B5%EB%8F%BC%EC%A7%80%EC%82%BC%EA%B2%B9%EC%82%B4/?c=15.00,0,0,0,dh"
18,미처둑어,"https://map.naver.com/p/search/%EB%AF%B8%EC%B2%98%EB%91%91%EC%96%B4/?c=15.00,0,0,0,dh"
19,일미정,"https://map.naver.com/p/search/%EC%9D%BC%EB%AF%B8%EC%A0%95/?c=15.00,0,0,0,dh"
20,혼밥선생,"https://map.naver.com/p/search/%ED%98%BC%EB%B0%A5%EC%84%A0%EC%83%9D/?c=15.00,0,0,0,dh"
21,다복향 마라탕,"https://map.naver.com/p/search/%EB%8B%A4%EB%B3%B5%ED%96%A5%20%EB%A7%88%EB%9D%BC%ED%83%95/?c=15.00,0,0,0,dh"
22,서울앤틱,"https://map.naver.com/p/search/%EC%84%9C%EC%9A%B8%EC%95%A4%ED%8B%B1/?c=15.00,0,0,0,dh"
23,만두맨,"https://map.naver.com/p/search/%EB%A7%8C%EB%91%90%EB%A7%A8/?c=15.00,0,0,0,dh"
24,꼬챙이,"https://map.naver.com/p/search/%EA%BC%AC%EC%B1%99%EC%9D%B4/?c=15.00,0,0,0,dh"
25,미분당 미사역점,"https://map.naver.com/p/search/%EB%AF%B8%EB%B6%84%EB%8B%B9%20%EB%AF%B8%EC%82%AC%EC%97%AD%EC%A0%90/place/1108623516?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
26,뽁당볶음밥 미사점,"https://map.naver.com/p/search/%EB%BD%81%EB%8B%B9%EB%B3%B6%EC%9D%8C%EB%B0%A5%20%EB%AF%B8%EC%82%AC%EC%A0%90/place/1195037849?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
27,짜글이주의보 미사점,"https://map.naver.com/p/search/%EC%A7%9C%EA%B8%80%EC%9D%B4%EC%A3%BC%EC%9D%98%EB%B3%B4%20%EB%AF%B8%EC%82%AC%EC%A0%90/?c=15.00,0,0,0,dh"
28,슬로우캘리 하남미사점,"https://map.naver.com/p/search/%EC%8A%AC%EB%A1%9C%EC%9A%B0%EC%BA%98%EB%A6%AC%20%ED%95%98%EB%82%A8%EB%AF%B8%EC%82%AC%EC%A0%90/place/1766113690?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
29,담아봄에,"https://map.naver.com/p/search/%EB%8B%B4%EC%95%84%EB%B4%84%EC%97%90/place/1070399943?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
30,바이브,"https://map.naver.com/p/search/%EB%B0%94%EC%9D%B4%EB%B8%8C/?c=15.00,0,0,0,dh"
31,제주민족,"https://map.naver.com/p/search/%EC%A0%9C%EC%A3%BC%EB%AF%BC%EC%A1%B1/?c=15.00,0,0,0,dh"
32,5301%(오삼공일퍼센트),"https://map.naver.com/p/search/5301%25%28%EC%98%A4%EC%82%BC%EA%B3%B5%EC%9D%BC%ED%8D%BC%EC%84%BC%ED%8A%B8%29/?c=15.00,0,0,0,dh"
33,송담추어탕,"https://map.naver.com/p/search/%EC%86%A1%EB%8B%B4%EC%B6%94%EC%96%B4%ED%83%95/?c=15.00,0,0,0,dh"
34,스타클럽 5 푸드풋팅(star club 5 food futting),"https://map.naver.com/p/search/%EC%8A%A4%ED%83%80%ED%81%B4%EB%9F%BD%205%20%ED%91%B8%EB%93%9C%ED%92%8B%ED%8C%85%28star%20club%205%20food%20futting%29/place/1818062308?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
35,소주물 하남시청점,"https://map.naver.com/p/search/%EC%86%8C%EC%A3%BC%EB%AC%BC%20%ED%95%98%EB%82%A8%EC%8B%9C%EC%B2%AD%EC%A0%90/place/1010200541?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
36,더피쉬워크샵,"https://map.naver.com/p/search/%EB%8D%94%ED%94%BC%EC%89%AC%EC%9B%8C%ED%81%AC%EC%83%B5/place/1734801134?c=15.00,0,0,0,dh&placePath=/review&isCorrectAnswer=true"
