,name,category
0,포장마차,포장마차
1,국밥,한식당
2,맥주 호프,호프
3,요리주점,기타
4,한식,한식당
5,중식당,중국집
6,베트남음식,베트남 음식
7,다이어트 샐러드,야채
8,육류 고기요리,고기
9,해물 생선요리,해물
10,도시락 컵밥,기타
11,초밥 롤,일식집
12,족발 보쌈,고기
13,곱창 막창 양,고기
14,치킨 닭강정,치킨
15,소고기구이,고기
16,아귀찜 해물찜,해물
17,카페,카페
18,닭갈비,고기
19,케이크전문,베이커리
20,카페 디저트,카페
21,두부요리,한식당
22,양식,양식
23,피자,피자
24,백반 가정식,한식당
25,만두,분식
26,주꾸미요리,해물
27,베이커리,베이커리
28,오징어요리,해물
29,막국수,막국수
30,죽,죽
31,돼지고기구이,고기
32,순대 순댓국,순댓국
33,햄버거,햄버거
34,곰탕 설렁탕,설렁탕
35,이자카야,일식집
36,식료품,기타
37,뷔페,뷔페
38,한식뷔페,한식당
39,찌개 전골,한식당
40,덮밥,덮밥
41,분식,분식
42,마라탕,중국집
43,샤브샤브,샤브샤브
44,돈가스,돈가스
45,딤섬 중식만두,중국집
46,국수,국수
47,떡볶이,분식
48,감자탕,감자탕
49,브런치카페,브런치카페
50,닭요리,고기
51,일식당,일식당
52,닭발,고기
53,추어탕,추어탕
54,칼국수 만두,칼국수
55,오뎅 꼬치,일식당
56,우동 소바,일식당
57,생선회,일식당
58,고기뷔페,고기
59,양어 양식업,해물
60,샌드위치,샌드위치
61,해장국,해장국
62,오리요리,고기
63,미용실,미용실
64,종합분식,분식
65,자동차스티커,자동차스티커
66,장어 먹장어요리,해물
67,전 빈대떡,전
68,라면,분식
69,토스트,간식
70,양갈비,고기
71,호떡,간식
72,조개요리,해물
73,이탈리아음식,양식
74,카레,카레
75,주류,주류
76,꽃집 꽃배달,기타
77,프랑스음식,양식
78,바(BAR),술집
79,스파게티 파스타전문,양식
80,한방카페,카페
81,브런치,브런치
82,반찬가게,반찬가게
83,애견카페,카페
84,빙수,디저트
85,이벤트 파티,이벤트 파티
86,아시아음식,아시아 음식
87,게요리,해물
88,스포츠 오락,스포츠 오락
89,키즈카페 실내놀이터,키즈카페 실내놀이터
90,테이크아웃커피,카페
91,정육점,고기
92,태국음식,태국음식
93,와인,와인
94,과일 주스전문점,카페
95,정육식당,고기
96,일본식라면,일식당
97,주류제조,주류제조
98,캠핑용품,캠핑용품
99,쌈밥,한식당
100,감성낙곱새,해물
101,라이브카페,카페
102,백숙 삼계탕,한식당
103,당구장,당구장
104,매운탕 해물탕,해물
105,아부찌부대찌개,한식당
106,밀키트,밀키트
107,기타,기타
108,김밥,분식
109,찜닭,한식당
110,냉면,한식당
111,갈비탕,갈비탕
112,전통 민속주점,전통 민속주점
113,독일음식,독일음식
114,화덕고깃간,화덕고깃간
115,식품,식품
116,물류 유통,물류 유통
117,낙지요리,낙지요리
118,멕시코 남미음식,멕시코 남미음식
119,한정식,한정식
120,스테이크 립,스테이크 립
121,출장요리,출장요리
122,사철 영양탕,사철 영양탕
123,양꼬치,양꼬치
124,놀이기구,놀이기구
125,복어요리,복어요리
