,name,category
0,두숫놈,포장마차
1,해장요리전문 임사부국밥 미사점,국밥
2,바이더크릭(by the creek),"맥주,호프"
3,카멜레온 다이닝(CHAMELEON DINING),요리주점
4,낙원할머니뼛칼 본점,한식
5,하남 찰리황,중식당
6,청록 미나리식당 미사강변점,한식
7,미분당 미사역점,베트남음식
8,슬로우캘리 하남미사점,"다이어트,샐러드"
9,담아봄에,한식
10,스타클럽 5 푸드풋팅(star club 5 food futting),한식
11,소주물 하남시청점,"육류,고기요리"
12,더피쉬워크샵,"해물,생선요리"
13,한솥도시락 하남감일점,"도시락,컵밥"
14,짬뽕관 하남미사점,중식당
15,하나참치&스시,"초밥,롤"
16,주덜트,포장마차
17,연족,"족발,보쌈"
18,무궁화주택 하남미사점,요리주점
19,미사 참숯불갈비,한식
20,불꾸러기,"곱창,막창,양"
21,처갓집양념치킨 북위례점,"치킨,닭강정"
22,마장동고기집 미사점,소고기구이
23,보배반점 하남미사점,중식당
24,모토이시 하남 미사점,"육류,고기요리"
25,인생아구찜 미사점,"아귀찜,해물찜"
26,마린보이 코다리1번가(망월점),"아귀찜,해물찜"
27,포도 앤 보리,카페
28,한라맥주 미사신도시점,"맥주,호프"
29,준이네 숯불닭갈비,닭갈비
30,프리티플레저,케이크전문
31,빈타그런스 브루잉 바,"카페,디저트"
32,돌깨마을맷돌순두부 하남미사점,두부요리
33,구가네 닭강정 호프,"치킨,닭강정"
34,베르온,양식
35,노모어 피자 하남시청역점,피자
36,손님상,"백반,가정식"
37,아담만두(미사점),만두
38,방배동 할매쭈꾸미 하남미사점,주꾸미요리
39,탐나는 피자 하남점,피자
40,윈터포레스트1224(Winter Forest 1224),"카페,디저트"
41,대동면옥 올림픽공원직영점,한식
42,소소밀 베이커리(SoSoMeal Bakery),베이커리
43,나타 커피 하우스,"카페,디저트"
44,라이크어시네마 하남미사점,"카페,디저트"
45,조선부뚜막 하남감일점,"육류,고기요리"
46,오고가 미사점,오징어요리
47,미사 메밀관,막국수
48,한솥 미사역9번출구점,"도시락,컵밥"
49,죽에 진심,죽
50,심플레이스 하남점,"카페,디저트"
51,화포식당 감일점,돼지고기구이
52,모랑 하남지산IS점,한식
53,귀한족발 하남감일지구점,"족발,보쌈"
54,솥단지 찹쌀순대국,"순대,순댓국"
55,플라워앤쭈,한식
56,딜리스볼,한식
57,힘난다버거 하남감일점,햄버거
58,행복소머리곰탕전문,"곰탕,설렁탕"
59,츠카미치,이자카야
60,시온미반,한식
61,떠오름 푸드,식료품
62,고메스퀘어 미사점,뷔페
63,더피제리아마켓,피자
64,삼산회관 하남미사강변점,"육류,고기요리"
65,오빠(Oh BAR),한식
66,죽이야기 감일점,죽
67,봄봄 하남미사점,한식뷔페
68,레알 청아간장게장,한식
69,아토키토 하남위례점,"다이어트,샐러드"
70,김뚜껑 부대찌개 미사역점,"찌개,전골"
71,운미가,덮밥
72,미사정육왕,"육류,고기요리"
73,라스트춘선 하남점,한식
74,밥밥디라라 하남미사강변점,한식
75,또래오래 북위례점,"치킨,닭강정"
76,디디키키 베이커리,베이커리
77,참살이 샐러드,"다이어트,샐러드"
78,마장동 정 순대국,"순대,순댓국"
79,시선 하남미사점,이자카야
80,우리할매떡볶이 하남미사점,분식
81,처갓집양념치킨 감일점,"치킨,닭강정"
82,탕화쿵푸 감일점,마라탕
83,편백가원 하남미사점,샤브샤브
84,한남동그집 현대지식산업센터2차점,요리주점
85,브라운돈까스 하남감일점,돈가스
86,딤타오 하남스타필드점,"딤섬,중식만두"
87,산드르 한방약초 샤브,한식
88,한솥도시락 미사2동점,"도시락,컵밥"
89,갈속집 하남시청역점,"육류,고기요리"
90,겟레디커피(Get Ready Coffee),"카페,디저트"
91,인생장칼 하남풍산점,국수
92,하하족발,"족발,보쌈"
93,호빈초밥,"초밥,롤"
94,별룸포차,포장마차
95,우대포 미사직영점,"육류,고기요리"
96,테이스트앤드테이스트 피자 스탠드 하남 스타필드점,피자
97,야마이루식 우동,떡볶이
98,무청감자탕 한강미사점,감자탕
99,브런치&카페 알로(Brunch&Cafe allo),브런치카페
100,철길부산집 하남감일점,요리주점
101,미사맛집 배째 닭한마리 칼국수,닭요리
102,하남냉삼0458,한식
103,청년분식 하남미사점,분식
104,콘부 스타필드하남,일식당
105,한신포차 하남감일점,포장마차
106,홍미닭발 하남미사점,닭발
107,요네즈,일식당
108,정오리 돌판구이,한식
109,79대포 하남풍산점,포장마차
110,춘향골 남원추어탕 미사점,추어탕
111,오모로이 쇼쿠도,요리주점
112,리리삼,"육류,고기요리"
113,도마르 스시,"초밥,롤"
114,젠가든(Zen Garden),일식당
115,스시 시오미즈,일식당
116,박승광 해물 손칼국수 하남미사점,"칼국수,만두"
117,카페 아리온,"카페,디저트"
118,김복남맥주 하남미사역점,"맥주,호프"
119,투다리 감일역점,"오뎅,꼬치"
120,삼동소바 하남미사점,"우동,소바"
121,유우조우,"오뎅,꼬치"
122,멜팅슬로우,"카페,디저트"
123,우리동네 참치정육점(미사점),생선회
124,누커스,카페
125,화로상회 하남감일점,고기뷔페
126,노티드 하남 스타필드,카페
127,마시내 하남감일점,중식당
128,멕시카나치킨 하남풍산점,"치킨,닭강정"
129,하노이 맥주밤거리 하남미사역점,요리주점
130,반미362 하남미사점,베트남음식
131,소소떡볶이 하남미사점,분식
132,키치 플레이트,양식
133,족발예찬 하남미사점,"족발,보쌈"
134,댕크야드(Dank yard),요리주점
135,권동식당,한식
136,우시야 미사점,소고기구이
137,효자동설렁탕 하남점,"곰탕,설렁탕"
138,발라티에,양식
139,쏘르제 루나(Sorge luna),"카페,디저트"
140,하남 삼육식당,한식
141,카페 누이(cafe nue),"카페,디저트"
142,붓다텐 하남점,일식당
143,면대면우육면마라탕,마라탕
144,금돈왕돈가스 육칼,한식
145,고급양식 하남점,"양어,양식업"
146,장수한우곱창 옥천냉면,한식
147,미스터 촌돼지,한식
148,구이가 감일점,돼지고기구이
149,하루엔소쿠 감일마크베르점,돈가스
150,해운대연탄생갈비 하남감일점,"육류,고기요리"
151,빵먹는 코끼리,베이커리
152,츄릅(churrrp),샌드위치
153,신사냉삼촌 하남미사점,돼지고기구이
154,두끼 하남미사점,분식
155,일품양평해장국 하남아이테코점,해장국
156,투비 버거,햄버거
157,보리향칼국수,한식
158,플로우나인 하남미사점,"카페,디저트"
159,남영동양문 하남미사점,"육류,고기요리"
160,짜란다,중식당
161,디저트 카페(DESSERT CAFE) 널문,"카페,디저트"
162,덕찡찡마켓,오리요리
163,1984그수육집칼국수 하남미사,"칼국수,만두"
164,카페다예,카페
165,프랭크버거 하남감일 단샘점,햄버거
166,일산등심박이,소고기구이
167,가마솥 순대국 뼈도리탕,한식
168,위니드밥 풍산점,한식뷔페
169,포하이퐁 미사점,베트남음식
170,계림원 미사중앙점,"치킨,닭강정"
171,동근이 숯불두마리치킨 하남감일점,"치킨,닭강정"
172,로드샌드위치 하남미사점,샌드위치
173,청년어부 미사역점,"초밥,롤"
174,배씨상회 하남미사점,요리주점
175,강남집 하남점,"육류,고기요리"
176,생활맥주 하남감일점,"맥주,호프"
177,미생맥주 하남감일점,"맥주,호프"
178,다올 굴순두부,두부요리
179,부빵(Beau pain),베이커리
180,봉평 메밀옥,한식
181,뉴욕버거 하남(SKV1)점,햄버거
182,라운지 비 LOUNGE B,미용실
183,파이 앤 브레드(Pie & Bread),베이커리
184,카라핑 카페,"카페,디저트"
185,포시애틀 하남풍산점,베트남음식
186,치킨봇,"치킨,닭강정"
187,예술피자 하남점,피자
188,파더스 베이글 하남미사점,카페
189,마시쏘부대찌개 미사역직영점,"찌개,전골"
190,짱꼬집(하남미사점),"육류,고기요리"
191,나은치킨,"치킨,닭강정"
192,오쥬리 사랑채,"곱창,막창,양"
193,동대문 엽기떡볶이 하남 미사강변점,분식
194,노모어피자 미사점,피자
195,미사원조곱창,"곱창,막창,양"
196,포코포코 하남미사점,종합분식
197,프랭크버거 하남신장점,햄버거
198,요트(YOTE),"카페,디저트"
199,풍산화우,소고기구이
200,우리할매떡볶이 하남덕풍점,분식
201,모모타코야끼 위례점,일식당
202,차이황,중식당
203,오닭꼬치 하남미사점,"오뎅,꼬치"
204,쉐 울리엘(chez ulliel),양식
205,더 퍼(The per),자동차스티커
206,우나기 현,"장어,먹장어요리"
207,깡우동 하남미사점,포장마차
208,두레통닭 하남감일점,"치킨,닭강정"
209,소요일 미사직영점,"육류,고기요리"
210,망월전,"전,빈대떡"
211,오늘은 라면125 애니벤,라면
212,카츠키,돈가스
213,피자스톰 미사점,피자
214,흑삼족,"족발,보쌈"
215,기영이 숯불두마리치킨 하남미사점,"치킨,닭강정"
216,패티바이번 위례점,햄버거
217,날쌘카페 하남미사점,"카페,디저트"
218,신세대맥주 미사,"맥주,호프"
219,참토스트 하남미사점,토스트
220,고집센 만두전골 두루치기,한식
221,무국적식탁 하남점,한식
222,투다리 풍산점,"오뎅,꼬치"
223,에헴 양식당,양갈비
224,밀회관 하남미사역점,"맥주,호프"
225,소반짓고,한식
226,마라홀릭 마라탕 감일점,마라탕
227,푸드트럭스쿨,호떡
228,꽈배기와 동그리,베이커리
229,길동우동 하남감일점,"우동,소바"
230,마라탕에 빠진날,중식당
231,사모님 토스트,토스트
232,퇴촌중앙갈비 하남점,한식
233,조개호,조개요리
234,자담치킨 미사중앙점,"치킨,닭강정"
235,봉맥,"맥주,호프"
236,바티토,이탈리아음식
237,소코아 하남감일점,카레
238,스트릿1988 하남감일점,"카페,디저트"
239,로우프레스(lowpress),"카페,디저트"
240,고래맥주창고(하남미사점),주류
241,육회바른연어 하남신장점,요리주점
242,별난아재맥주 하남미사점,"맥주,호프"
243,플로피(floffee),"꽃집,꽃배달"
244,라홍방마라탕 감일점,마라탕
245,타타스 하남미사점,"카페,디저트"
246,릴리 시나몬,프랑스음식
247,화포식당 미사강변점,"육류,고기요리"
248,뱃살도둑 감일점,"다이어트,샐러드"
249,카페 루가노,"카페,디저트"
250,삼형제김밥 미사점,분식
251,도미노피자 하남감일점,피자
252,코우게츠,이자카야
253,우리동네밥집 미사본점,종합분식
254,효하우스 골목길포차,포장마차
255,홍그린 로얄 스페셜,양식
256,사계진미 하남점,닭갈비
257,몽땅만두 미사역점,만두
258,육이구낙곱새 하남미사점,한식
259,메이창,중식당
260,돈까스짱 미사점,돈가스
261,비비큐 위례스타필드점,"치킨,닭강정"
262,신사꽃등심 미사직영점,소고기구이
263,팔당돼지수제갈비,한식
264,아빠찜 미사역점,"아귀찜,해물찜"
265,취향마라마라탕 하남미사점,중식당
266,청년부찌냉삼,한식
267,고돼지 하남점,"육류,고기요리"
268,청년감자탕순대국 하남미사점,감자탕
269,냐항바바바 미사역점,베트남음식
