,name,category
0,두숫놈,포장마차
1,해장요리전문 임사부국밥 미사점,국밥
2,바이더크릭(by the creek),"맥주,호프"
3,모카앤모카번,베이커리
4,카멜레온 다이닝(CHAMELEON DINING),요리주점
5,낙원할머니뼛칼 본점,한식
6,하남 찰리황,중식당
7,청록 미나리식당 미사강변점,한식
8,미분당 미사역점,베트남음식
9,슬로우캘리 하남미사점,"다이어트,샐러드"
10,담아봄에,한식
11,스타클럽 5 푸드풋팅(star club 5 food futting),한식
12,소주물 하남시청점,"육류,고기요리"
13,더피쉬워크샵,"해물,생선요리"
14,한솥도시락 하남감일점,"도시락,컵밥"
15,짬뽕관 하남미사점,중식당
16,하나참치&스시,"초밥,롤"
17,주덜트,포장마차
18,연족,"족발,보쌈"
19,무궁화주택 하남미사점,요리주점
20,미사 참숯불갈비,한식
21,불꾸러기,"곱창,막창,양"
22,처갓집양념치킨 북위례점,"치킨,닭강정"
23,마장동고기집 미사점,소고기구이
24,보배반점 하남미사점,중식당
25,모토이시 하남 미사점,"육류,고기요리"
26,참치정육점 닌자,생선회
27,인생아구찜 미사점,"아귀찜,해물찜"
28,마린보이 코다리1번가(망월점),"아귀찜,해물찜"
29,포도 앤 보리,카페
30,한라맥주 미사신도시점,"맥주,호프"
31,준이네 숯불닭갈비,닭갈비
32,프리티플레저,케이크전문
33,빈타그런스 브루잉 바,"카페,디저트"
34,돌깨마을맷돌순두부 하남미사점,두부요리
35,구가네 닭강정 호프,"치킨,닭강정"
36,베르온,양식
37,노모어 피자 하남시청역점,피자
38,손님상,"백반,가정식"
39,아담만두(미사점),만두
40,방배동 할매쭈꾸미 하남미사점,주꾸미요리
41,탐나는 피자 하남점,피자
42,윈터포레스트1224(Winter Forest 1224),"카페,디저트"
43,대동면옥 올림픽공원직영점,한식
44,소소밀 베이커리(SoSoMeal Bakery),베이커리
45,나타 커피 하우스,"카페,디저트"
46,라이크어시네마 하남미사점,"카페,디저트"
47,조선부뚜막 하남감일점,"육류,고기요리"
48,오고가 미사점,오징어요리
49,미사 메밀관,막국수
50,한솥 미사역9번출구점,"도시락,컵밥"
51,심플레이스 하남점,"카페,디저트"
52,한양화로 위례점,소고기구이
53,한없는커피,"카페,디저트"
54,하타네 하남미사점,이자카야
55,오션스펍 하남미사점,"맥주,호프"
56,비몽사몽,"맥주,호프"
57,옥된장 미사스카이폴리스점,한식
58,역전할머니맥주 하남북위례점,"맥주,호프"
59,레디타임(readytime),"카페,디저트"
60,김영복의 상하이웍,중식당
61,탭플레이커피 스타필드 하남점,테이크아웃커피
62,화포식당 감일점,돼지고기구이
63,한회장댁,"과일,주스전문점"
64,춘리마라탕 미사점,마라탕
65,모랑 하남지산IS점,한식
66,생마차 하남미사점,이자카야
67,크닭,"치킨,닭강정"
68,귀한족발 하남감일지구점,"족발,보쌈"
69,솥단지 찹쌀순대국,"순대,순댓국"
70,플라워앤쭈,한식
71,딜리스볼,한식
72,게런티 홀덤 라운지,"맥주,호프"
73,힘난다버거 하남감일점,햄버거
74,행복소머리곰탕전문,"곰탕,설렁탕"
75,시엠프레 그랑파사쥬,"이벤트,파티"
76,츠카미치,이자카야
77,자담치킨 하남풍산점,"치킨,닭강정"
78,시온미반,한식
79,떠오름 푸드,식료품
80,고메스퀘어 미사점,"일식,초밥뷔페"
81,카페 포지타노,"카페,디저트"
82,더피제리아마켓,피자
83,삼산회관 하남미사강변점,"육류,고기요리"
84,오빠(Oh BAR),한식
85,압구정화로구이 하남시청점,"육류,고기요리"
86,죽이야기 감일점,죽
87,봄봄 하남미사점,한식뷔페
88,레알 청아간장게장,한식
89,아토키토 하남위례점,"다이어트,샐러드"
90,김뚜껑 부대찌개 미사역점,"찌개,전골"
91,운미가,덮밥
92,미사정육왕,"육류,고기요리"
93,라스트춘선 하남점,한식
94,밥밥디라라 하남미사강변점,한식
95,또래오래 북위례점,"치킨,닭강정"
96,디디키키 베이커리,베이커리
97,참살이 샐러드,"다이어트,샐러드"
98,마장동 정 순대국,"순대,순댓국"
99,시선 하남미사점,이자카야
100,우리할매떡볶이 하남미사점,분식
101,처갓집양념치킨 감일점,"치킨,닭강정"
102,탕화쿵푸 감일점,마라탕
103,편백가원 하남미사점,샤브샤브
104,한남동그집 현대지식산업센터2차점,요리주점
105,브라운돈까스 하남감일점,돈가스
106,딤타오 하남스타필드점,"딤섬,중식만두"
107,산드르 한방약초 샤브,한식
108,한솥도시락 미사2동점,"도시락,컵밥"
109,갈속집 하남시청역점,"육류,고기요리"
110,겟레디커피(Get Ready Coffee),"카페,디저트"
111,인생장칼 하남풍산점,국수
112,하하족발,"족발,보쌈"
113,호빈초밥,"초밥,롤"
114,별룸포차,포장마차
115,우대포 미사직영점,"육류,고기요리"
116,테이스트앤드테이스트 피자 스탠드 하남 스타필드점,피자
117,야마이루식 우동,떡볶이
118,브런치&카페 알로(Brunch&Cafe allo),브런치카페
119,철길부산집 하남감일점,요리주점
120,미사맛집 배째 닭한마리 칼국수,닭요리
121,하남냉삼0458,한식
122,청년분식 하남미사점,분식
123,바우네 나주곰탕 감일점,"곰탕,설렁탕"
124,한신포차 하남감일점,포장마차
125,응큼떡볶이 미사점,종합분식
126,홍미닭발 하남미사점,닭발
127,요네즈,일식당
128,정오리 돌판구이,한식
129,오모로이 쇼쿠도,요리주점
130,리리삼,"육류,고기요리"
131,도마르 스시,"초밥,롤"
132,젠가든(Zen Garden),일식당
133,스시 시오미즈,일식당
134,박승광 해물 손칼국수 하남미사점,"칼국수,만두"
135,카페 아리온,"카페,디저트"
136,김복남맥주 하남미사역점,"맥주,호프"
137,투다리 감일역점,"오뎅,꼬치"
138,삼동소바 하남미사점,"우동,소바"
139,유우조우,"오뎅,꼬치"
140,멜팅슬로우,"카페,디저트"
141,우리동네 참치정육점(미사점),생선회
142,누커스,카페
143,화로상회 하남감일점,고기뷔페
144,노티드 하남 스타필드,카페
145,마시내 하남감일점,중식당
146,멕시카나치킨 하남풍산점,"치킨,닭강정"
147,하노이 맥주밤거리 하남미사역점,요리주점
148,반미362 하남미사점,베트남음식
149,소소떡볶이 하남미사점,분식
150,키치 플레이트,양식
151,족발예찬 하남미사점,"족발,보쌈"
152,한마음정육식당 하남미사1호점,"육류,고기요리"
153,댕크야드(Dank yard),요리주점
154,권동식당,한식
155,우시야 미사점,소고기구이
156,효자동설렁탕 하남점,"곰탕,설렁탕"
157,발라티에,양식
158,쏘르제 루나(Sorge luna),"카페,디저트"
159,하남 삼육식당,한식
160,카페 누이(cafe nue),"카페,디저트"
161,붓다텐 하남점,일식당
162,면대면우육면마라탕,마라탕
163,샤오바오 신세계스타필드하남점,중식당
164,금돈왕돈가스 육칼,한식
165,고급양식 하남점,"양어,양식업"
166,장수한우곱창 옥천냉면,한식
167,미스터 촌돼지,한식
168,구이가 감일점,돼지고기구이
169,쭈신할매의 전설,주꾸미요리
170,하루엔소쿠 감일마크베르점,돈가스
171,해운대연탄생갈비 하남감일점,"육류,고기요리"
172,빵먹는 코끼리,베이커리
173,신사냉삼촌 하남미사점,돼지고기구이
174,두끼 하남미사점,분식
175,일품양평해장국 하남아이테코점,해장국
176,투비 버거,햄버거
177,이은각 칼국수,"칼국수,만두"
178,보리향칼국수,한식
179,남영동양문 하남미사점,"육류,고기요리"
180,짜란다,중식당
181,디저트 카페(DESSERT CAFE) 널문,"카페,디저트"
182,덕찡찡마켓,오리요리
183,1984그수육집칼국수 하남미사,"칼국수,만두"
184,카페다예,카페
185,프랭크버거 하남감일 단샘점,햄버거
186,일산등심박이,소고기구이
187,가마솥 순대국 뼈도리탕,한식
188,위니드밥 풍산점,한식뷔페
189,포하이퐁 미사점,베트남음식
190,계림원 미사중앙점,"치킨,닭강정"
191,동근이 숯불두마리치킨 하남감일점,"치킨,닭강정"
192,로드샌드위치 하남미사점,샌드위치
193,청년어부 미사역점,"초밥,롤"
194,하루보틀,"카페,디저트"
195,강남집 하남점,"육류,고기요리"
196,생활맥주 하남감일점,"맥주,호프"
197,미생맥주 하남감일점,"맥주,호프"
198,다올 굴순두부,두부요리
199,동해 강릉 초당짬뽕순두부 하남미사점,한식
200,부빵(Beau pain),베이커리
201,봉평 메밀옥,한식
202,뉴욕버거 하남(SKV1)점,햄버거
203,라운지 비 LOUNGE B,미용실
204,파이 앤 브레드(Pie & Bread),베이커리
205,이가돈 매운갈비찜,한식
206,포시애틀 하남풍산점,베트남음식
207,치킨봇,"치킨,닭강정"
208,왔따쪽갈비(하남미사점),"육류,고기요리"
209,예술피자 하남점,피자
210,펫타리움 미사,애견카페
211,파더스 베이글 하남미사점,카페
212,마시쏘부대찌개 미사역직영점,"찌개,전골"
213,짱꼬집(하남미사점),"육류,고기요리"
214,나은치킨,"치킨,닭강정"
215,오쥬리 사랑채,"곱창,막창,양"
216,동대문 엽기떡볶이 하남 미사강변점,분식
217,노모어피자 미사점,피자
218,720 빠,"오뎅,꼬치"
219,미사원조곱창,"곱창,막창,양"
220,포코포코 하남미사점,종합분식
221,프랭크버거 하남신장점,햄버거
222,요트(YOTE),"카페,디저트"
223,루꽐라,양식
224,오스테리아 렌조(OSTERIA RENZO),이탈리아음식
225,바른곱창(감일점),"곱창,막창,양"
226,우리할매떡볶이 하남덕풍점,분식
227,모모타코야끼 위례점,일식당
228,차이황,중식당
229,한마음 정육식당 하남감일점,"육류,고기요리"
230,오닭꼬치 하남미사점,"오뎅,꼬치"
231,쉐 울리엘(chez ulliel),양식
232,더 퍼(The per),자동차스티커
233,우나기 현,"장어,먹장어요리"
234,깡우동 하남미사점,포장마차
235,두레통닭 하남감일점,"치킨,닭강정"
236,소요일 미사직영점,"육류,고기요리"
237,망월전,"전,빈대떡"
238,오늘은 라면125 애니벤,라면
239,카츠키,돈가스
240,오롯한상,한식
241,흑삼족,"족발,보쌈"
242,압구정 화로구이 미사점,"육류,고기요리"
243,기영이 숯불두마리치킨 하남미사점,"치킨,닭강정"
244,스노우플렉스(SNOW FLEX),"카페,디저트"
245,패티바이번 위례점,햄버거
246,꿉돈가,"육류,고기요리"
247,날쌘카페 하남미사점,"카페,디저트"
248,세화갈비 미사점,"육류,고기요리"
249,슈슈브런치 하남감일점,브런치카페
250,온담순대국 미사스카이폴리스점,국밥
251,신세대맥주 미사,"맥주,호프"
252,조인 더 클럽,바(BAR)
253,와하카,"멕시코,남미음식"
254,참토스트 하남미사점,토스트
255,고집센 만두전골 두루치기,한식
256,무국적식탁 하남점,한식
257,고기싸롱 미사신도시점,"육류,고기요리"
258,투다리 풍산점,"오뎅,꼬치"
259,밀회관 하남미사역점,"맥주,호프"
260,소반짓고,한식
261,마라홀릭 마라탕 감일점,마라탕
262,푸드트럭스쿨,호떡
