,name,rate,review
0,두숫놈,,"한식포차라니... 메뉴가 대박이에요🙉 냉삼, 제육, 닭도리탕, 청국장, 도토리묵 등등... 다 너무좋아하는데ㅋㅋ 특히 이동네에선 맛볼수없었던 갑오징어 숙회♡ 쫀득하고 너무 맛있었습니다ㅠ 잔치국수도요^^ 사장님도 친절하시고 웃으며 맞아주셔서 좋았어요~~ 자주갈께요 대박나세요🤩"
1,두숫놈,,이동네에서는 구경하기힘든 갑오징어숙회♡ 계란말이랑 청국장도 맛있었어요~ 한식안주들이라 집에서 술먹는것같은 기분이네요^^ 번창하세요!
2,두숫놈,,전에도 왔는데 리뷰는 첨이네요 일단 기본 콩나물국이 너무너무 맛있습니다 얼큰하고 시원해서 술 먹으면서 해장이 되요ㅎ 계란말이도 크고 너무맛있습니다~ 지난번에는 오돌뼈 먹었는데 오돌뼈도 냄새도안나고 맛있었어요 담에 또 방문예정입니다~
3,두숫놈,,기본안주가 왠만하면 그냥 과자로 내줄텐데 오이로 주시는게 상큼하니 좋았습니다계란말이도 탄 부분 하나없이 먹기좋게 잘 익어서 간이 딱 맞게 잘되서 계란말이 하나로 소주 5잔은 혼자 마신거 같네요 냉삼 주실때 한입 크기로 잘라서 주시고 구워 먹는데 잡내같은거 하나도 없고요 지방도 많지 않아서 정말 가성비 좋습니다 같이 구워 먹도록 준비 해주신 밑반찬도 맛있었습니다 맛있게 구워지라고 들기름 까지 준비 해두셔서 반찬 엄청 리필해서 먹었네요냉삼에 비빔면까지 같이 먹어주고 어묵탕이랑 닭볶음탕도 시켜 먹었습니다어묵탕은 국물이 탁하지 않고 너무 짜지도 않아서 깔끔하니 좋았고 닭볶음탕은 닭에 간이 잘 베어서 좋았습니다 맛도 맛이지만 가격이 너무 좋았습니다다음에 또 친구들이랑 놀러가서 잔뜩 먹고 싶네요.
4,두숫놈,,제육 추천해서 먹었는데..간도 안맞고 고기는 뻑뻑하고..호박은 쌩이고..제가 입맛이 촌스러워 그러니 좀 짭짤하게 해달라했는데 맛은 여전하고 호박은 그제사 적당히 익었네요..자세히 보니 냉동고기 겹겹히 양념이나 간도 안베이게 볶아놔서 제 앞접시에 허여멀건한 양념 전혀 안베인부분 널어놓고.. 도저히 못 먹겠어서 한 70프로 남기고..제 앞접시보고 많은걸 느끼셨음 좋겠다 했더니 젊은놈?이 피식하는 듯 비웃더군요..제가 누군지는 의미 없겠지만..발전하시려면 그런 실력에 그런태도는 아닌것 같습니다^~두 숫놈이 어떤 관계인지 모르겠지만...음식 간도 못 맞추고 수정을 요구해도 못한다면... 하아..하남 정말 먹을데가 이리 없나 한숨만 나오네요.여기 맛있다는 사람 누구세요? 관계자?ㅋ
5,두숫놈,,갑오징어 숙회 너무 맛있게 먹었어요~  콩나물국 없어진건 너무 슬프지만ㅠ
6,두숫놈,,맛있게 잘먹었습니당!!
7,두숫놈,,친절하시고 맛있어요ㅎㅎ
8,두숫놈,,술찌라서 술은잘 안먹는데 안주가 너무 맛있어서 안주만먹다 나왔네요ㅠㅠ갑오징어 숙회랑 계란말이 강추입니다
9,두숫놈,,전은 데워주시긴 하는데 다 식어있고 테이블에서는 행주 안 말린 냄새가 좀 심하게 나고 새로 생겨서 기대하고 갔는데 별로네요
